kat,tohum,dis_test_merkez,yontem,n,dogruluk,brier,duyarlilik
1,42,1,esik_dis,200,0.89,0.08680040389299393,0.9022222222222223
1,42,1,platt,200,0.89,0.08160700649023056,0.9022222222222223
1,42,1,esik_dis,400,0.8922222222222222,0.08680040389299393,0.9022222222222223
1,42,1,platt,400,0.8922222222222222,0.0808672085404396,0.9022222222222223
1,43,1,ic_tavan,0,0.8922222222222222,0.10968489199876785,0.8844444444444445
1,43,1,esik_ic,0,0.8288888888888889,0.14980970323085785,0.7355555555555555
1,43,1,esik_dis,20,0.7633333333333333,0.14980970323085785,0.7355555555555555
1,43,1,platt,20,0.7633333333333333,0.1606762558221817,0.7355555555555555
1,43,1,esik_dis,50,0.8055555555555556,0.14980970323085785,0.7355555555555555
1,43,1,platt,50,0.8055555555555556,0.14183039963245392,0.7355555555555555
1,43,1,esik_dis,100,0.8166666666666667,0.14980970323085785,0.7355555555555555
1,43,1,platt,100,0.8166666666666667,0.1402435153722763,0.7355555555555555
1,43,1,esik_dis,200,0.8166666666666667,0.14980970323085785,0.7355555555555555
1,43,1,platt,200,0.8166666666666667,0.1409519910812378,0.7355555555555555
1,43,1,esik_dis,400,0.8211111111111111,0.14980970323085785,0.7355555555555555
1,43,1,platt,400,0.8211111111111111,0.14259368181228638,0.7355555555555555
1,44,1,ic_tavan,0,0.9411111111111111,0.028698883950710297,0.9822222222222222
1,44,1,esik_ic,0,0.8122222222222222,0.08574329316616058,0.8933333333333333
1,44,1,esik_dis,20,0.8911111111111111,0.08574329316616058,0.8933333333333333
1,44,1,platt,20,0.8911111111111111,0.11365411430597305,0.8933333333333333
1,44,1,esik_dis,50,0.8911111111111111,0.08574329316616058,0.8933333333333333
1,44,1,platt,50,0.8911111111111111,0.09728627651929855,0.8933333333333333
1,44,1,esik_dis,100,0.8911111111111111,0.08574329316616058,0.8933333333333333
1,44,1,platt,100,0.8911111111111111,0.08867360651493073,0.8933333333333333
1,44,1,esik_dis,200,0.8922222222222222,0.08574329316616058,0.8933333333333333
1,44,1,platt,200,0.8922222222222222,0.08604399859905243,0.8933333333333333
1,44,1,esik_dis,400,0.8933333333333333,0.08574329316616058,0.8933333333333333
1,44,1,platt,400,0.8933333333333333,0.08592875301837921,0.8933333333333333
2,42,2,ic_tavan,0,0.9066666666666666,0.12414207309484482,0.9133333333333333
2,42,2,esik_ic,0,0.8955555555555555,0.22257982194423676,0.8933333333333333
2,42,2,esik_dis,20,0.8722222222222222,0.22257982194423676,0.8933333333333333
2,42,2,platt,20,0.8722222222222222,0.18008090555667877,0.8933333333333333
2,42,2,esik_dis,50,0.8755555555555555,0.22257982194423676,0.8933333333333333
